,caption
148,may be metaphorically to emphasise disgust at a person or situation or in a literal sense
149,a green face shown with pursed lipsed as though it may be about to vomit
150,downcast face with sweat
151,a face that is upsidedown often representing a sense of silliness or goofiness
152,kissing face with smiling eyes
153,persevering face
154,a frowning face with an unhappy mouth curving downward
155,may be used to display feelings of shock awe or as a visual shorthand for the phrase mind blown
156,a face shown with a thermometer presumed to be feeling sick
157,hugging face
158,has inwardfacing eyebrows and a frowning mouth
159,an emoji form of the  emoticon
160,a yellow face with a broad open smile and scrunchedup eyes forming an x shape
161,generally used instead of the sleepy face emoji to indicate both sleeping and sleepiness
162,weary face
163,may be used to denote scepticism disbelief or disapproval
164,this might be considered a cheeky emoji although often less so than the cheeky monkey covering its mouth
165,a yellow face with smiling eyes and a closed smile turning up to rosy cheeks
166,a happy and smiling face with big open mouth showing teeth
167,a face with a long nose used to indicate the telling of a lie
168,not to be confused with the sad loudly crying face
169,a cheeky face sticking its tongue out in jest
170,face with hand over mouth
171,has been likened to the quizzical looks of stephen colbert and also resembles a common expression of the rock
172,dizzy face
173,face with raised eyebrow
174,a mixture of shock and disappointment
175,face with rolling eyes
176,may be used as a form of passiveaggression or to convey the notion that this is fine when things are in fact not fine
177,sad but relieved face
178,a sad face with a frowning mouth and disappointed eyes
179,a heart is shown leaving the kissing mouth
180,grinning face with sweat
181,used to indicate a silly happiness
182,crazy face
183,neutral face
184,grimacing face
185,displays on snapchat next to contacts who message one another often but who aren’t 1 best friends
186,winking face with tongue
187,a face shown with a single finger and thumb resting on the chin glancing upward
188,confused face
189,sneezing face
190,pouting face
191,saddened by life
192,used to indicate thinking or deep thought
193,conveys general happiness and goodnatured amusement
194,grinning face
195,feeling a sense of relief over a situation or to convey a calm or content state of mind
196,frowning face with open mouth
197,a sad face with tears streaming down both cheeks
198,a bit more of an ‘innocent i’m pretending i didn’t do anything’ whistle especially if combined with the music note
199,a zany face which is excitable and used to represent a certain amount of wackiness
200,this is used to show disdain contempt or boredom about a person or topic
201,quietly considering where things all went wrong
202,a screaming face with two hands holding the jaw and cheeks in fear
203,a face smiling and wearing dark sunglasses that is used to denote a sense of cool
204,face vomiting
205,this is used in anime and manga to indicate that a character is sleeping
206,used to express dissatisfaction
207,starstruck
208,a face with a grin and smiling eyes similar to grinning face with smiling eyes but with a single bead of forehead sweat over its left eye right on whatsapp
209,a face with an explosion taking place in the upper section of the head
210,a pouting face outwardly showing displeasure with a person or situation
211,used to convey a secret or that one will not discuss a certain matter with others aka my lips are sealed
212,smiling face with smiling eyes
213,a bit more of an ‘innocent i’m pretending i didn’t do anything’ whistle especially if combined with the music note
214,astonished face
215,kissing face
216,face with medical mask
217,this is not a face of sadness it is more of a grumpy displeased look
218,can be paired with a thoughtballoon or a light bulb to indicate an idea and is sometimes used to question the intelligence of a written statement aka throwing shade at a person or concept
219,expresses anger grumpiness or annoyance at a situation
220,that would be implied when a person wipes sweat from their brow in an exaggerated manner
221,can also be used for mock shock as it is less specific than the fearful face used for genuine shock
222,a face displaying eyes glancing upward indicating an eyeroll
223,wide eyes are shown with an open mouth
224,a sad face with a single tear running from one eye down the cheek
225,to keep a secret
226,a face showing a stuckout tongue winking at the same time
227,part displeased part unsure what to think
228,hurt and upset but not crying hysterically
229,an excited face showing stars instead of eyes
230,a friendly goofy smile with tongue hanging out the side of the mouth
231,face without mouth
232,conveys general pleasure and good cheer or humor
233,a face with a bank note showing instead of a tongue and dollar signs instead of eyes
